INDICATIVO;VARIABLE;FECHA;HORA;PERIODO;VALOR;VALIDACION
5044E;TD4;23/12/1986;7:00;1440;6;E
5044E;TD4;24/12/1986;7:00;1440;9;E
5044E;TD4;25/12/1986;7:00;1440;11;E
5044E;TD4;26/12/1986;7:00;1440;13;E
5044E;TD4;27/12/1986;7:00;1440;14;E
5044E;TD4;28/12/1986;7:00;1440;14;E
5044E;TD4;29/12/1986;7:00;1440;15;E
5044E;TD4;30/12/1986;7:00;1440;15;E
5044E;TD4;31/12/1986;7:00;1440;16;E
5044E;TD4;01/01/1987;7:00;1440;17;E
5044E;TD4;02/01/1987;7:00;1440;12;E
5044E;TD4;03/01/1987;7:00;1440;14;E
5044E;TD4;04/01/1987;7:00;1440;17;E
5044E;TD4;05/01/1987;7:00;1440;16;E
5044E;TD4;06/01/1987;7:00;1440;12;E
5044E;TD4;07/01/1987;7:00;1440;13;E
5044E;TD4;08/01/1987;7:00;1440;10;E
5044E;TD4;09/01/1987;7:00;1440;7;E
5044E;TD4;10/01/1987;7:00;1440;12;E
5044E;TD4;11/01/1987;7:00;1440;18;E
5044E;TD4;12/01/1987;7:00;1440;10;E
5044E;TD4;13/01/1987;7:00;1440;-2;E
5044E;TD4;14/01/1987;7:00;1440;-2;E
5044E;TD4;15/01/1987;7:00;1440;2;E
5044E;TD4;16/01/1987;7:00;1440;5;E
5044E;TD4;17/01/1987;7:00;1440;10;E
5044E;TD4;18/01/1987;7:00;1440;11;E
5044E;TD4;19/01/1987;7:00;1440;9;E
5044E;TD4;20/01/1987;7:00;1440;0;E
5044E;TD4;21/01/1987;7:00;1440;3;E
5044E;TD4;22/01/1987;7:00;1440;8;E
5044E;TD4;23/01/1987;7:00;1440;10;E
5044E;TD4;24/01/1987;7:00;1440;6;E
5044E;TD4;25/01/1987;7:00;1440;8;E
5044E;TD4;26/01/1987;7:00;1440;15;E
5044E;TD4;27/01/1987;7:00;1440;13;E
5044E;TD4;28/01/1987;7:00;1440;10;E
5044E;TD4;29/01/1987;7:00;1440;11;E
5044E;TD4;30/01/1987;7:00;1440;10;E
5044E;TD4;31/01/1987;7:00;1440;11;E
5044E;TD4;01/02/1987;7:00;1440;10;E
5044E;TD4;02/02/1987;7:00;1440;8;E
5044E;TD4;03/02/1987;7:00;1440;8;E
5044E;TD4;04/02/1987;7:00;1440;10;E
5044E;TD4;05/02/1987;7:00;1440;12;E
5044E;TD4;06/02/1987;7:00;1440;16;E
5044E;TD4;07/02/1987;7:00;1440;12;E
5044E;TD4;08/02/1987;7:00;1440;12;E
5044E;TD4;09/02/1987;7:00;1440;7;E
5044E;TD4;10/02/1987;7:00;1440;10;E
5044E;TD4;11/02/1987;7:00;1440;-1;E
5044E;TD4;12/02/1987;7:00;1440;13;E
5044E;TD4;13/02/1987;7:00;1440;14;E
5044E;TD4;14/02/1987;7:00;1440;13;E
5044E;TD4;15/02/1987;7:00;1440;13;E
5044E;TD4;16/02/1987;7:00;1440;11;E
5044E;TD4;17/02/1987;7:00;1440;6;E
5044E;TD4;18/02/1987;7:00;1440;2;E
5044E;TD4;19/02/1987;7:00;1440;8;E
5044E;TD4;20/02/1987;7:00;1440;2;E
5044E;TD4;21/02/1987;7:00;1440;7;E
5044E;TD4;22/02/1987;7:00;1440;14;E
5044E;TD4;23/02/1987;7:00;1440;14;E
5044E;TD4;24/02/1987;7:00;1440;15;E
5044E;TD4;25/02/1987;7:00;1440;14;E
5044E;TD4;26/02/1987;7:00;1440;20;E
5044E;TD4;27/02/1987;7:00;1440;21;E
5044E;TD4;28/02/1987;7:00;1440;22;E
5044E;TD4;01/03/1987;7:00;1440;26;E
5044E;TD4;02/03/1987;7:00;1440;25;E
5044E;TD4;03/03/1987;7:00;1440;23;E
5044E;TD4;04/03/1987;7:00;1440;24;E
5044E;TD4;05/03/1987;7:00;1440;23;E
5044E;TD4;06/03/1987;7:00;1440;20;E
5044E;TD4;07/03/1987;7:00;1440;21;E
5044E;TD4;08/03/1987;7:00;1440;18;E
5044E;TD4;09/03/1987;7:00;1440;18;E
5044E;TD4;10/03/1987;7:00;1440;15;E
5044E;TD4;11/03/1987;7:00;1440;13;E
5044E;TD4;12/03/1987;7:00;1440;13;E
5044E;TD4;13/03/1987;7:00;1440;10;E
5044E;TD4;14/03/1987;7:00;1440;12;E
5044E;TD4;15/03/1987;7:00;1440;10;E
5044E;TD4;16/03/1987;7:00;1440;11;E
5044E;TD4;17/03/1987;7:00;1440;11;E
5044E;TD4;18/03/1987;7:00;1440;16;E
5044E;TD4;19/03/1987;7:00;1440;18;E
5044E;TD4;20/03/1987;7:00;1440;10;E
5044E;TD4;21/03/1987;7:00;1440;12;E
5044E;TD4;22/03/1987;7:00;1440;14;E
5044E;TD4;23/03/1987;7:00;1440;17;E
5044E;TD4;24/03/1987;7:00;1440;17;E
5044E;TD4;25/03/1987;7:00;1440;18;E
5044E;TD4;26/03/1987;7:00;1440;20;E
5044E;TD4;27/03/1987;7:00;1440;14;E
5044E;TD4;28/03/1987;7:00;1440;11;E
5044E;TD4;30/03/1987;7:00;1440;10;E
5044E;TD4;31/03/1987;7:00;1440;15;E
5044E;TD4;01/04/1987;7:00;1440;15;E
5044E;TD4;02/04/1987;7:00;1440;17;E
5044E;TD4;03/04/1987;7:00;1440;0;E
5044E;TD4;04/04/1987;7:00;1440;10;E
5044E;TD4;05/04/1987;7:00;1440;14;E
5044E;TD4;06/04/1987;7:00;1440;18;E
5044E;TD4;07/04/1987;7:00;1440;24;E
5044E;TD4;08/04/1987;7:00;1440;21;E
5044E;TD4;09/04/1987;7:00;1440;16;E
5044E;TD4;10/04/1987;7:00;1440;17;E
5044E;TD4;11/04/1987;7:00;1440;18;E
5044E;TD4;12/04/1987;7:00;1440;19;E
5044E;TD4;13/04/1987;7:00;1440;20;E
5044E;TD4;14/04/1987;7:00;1440;20;E
5044E;TD4;15/04/1987;7:00;1440;12;E
5044E;TD4;16/04/1987;7:00;1440;14;E
5044E;TD4;17/04/1987;7:00;1440;19;E
5044E;TD4;18/04/1987;7:00;1440;24;E
5044E;TD4;19/04/1987;7:00;1440;25;E
5044E;TD4;20/04/1987;7:00;1440;26;E
5044E;TD4;21/04/1987;7:00;1440;21;E
5044E;TD4;22/04/1987;7:00;1440;25;E
5044E;TD4;23/04/1987;7:00;1440;25;E
5044E;TD4;24/04/1987;7:00;1440;22;E
5044E;TD4;25/04/1987;7:00;1440;21;E
5044E;TD4;26/04/1987;7:00;1440;27;E
5044E;TD4;27/04/1987;7:00;1440;25;E
5044E;TD4;28/04/1987;7:00;1440;25;E
5044E;TD4;29/04/1987;7:00;1440;22;E
5044E;TD4;30/04/1987;7:00;1440;22;E
5044E;TD4;01/05/1987;7:00;1440;20;E
5044E;TD4;02/05/1987;7:00;1440;25;E
5044E;TD4;03/05/1987;7:00;1440;24;E
5044E;TD4;04/05/1987;7:00;1440;19;E
5044E;TD4;05/05/1987;7:00;1440;17;E
5044E;TD4;06/05/1987;7:00;1440;20;E
5044E;TD4;07/05/1987;7:00;1440;25;E
5044E;TD4;08/05/1987;7:00;1440;26;E
5044E;TD4;09/05/1987;7:00;1440;24;E
5044E;TD4;10/05/1987;7:00;1440;24;E
5044E;TD4;11/05/1987;7:00;1440;20;E
5044E;TD4;12/05/1987;7:00;1440;21;E
5044E;TD4;13/05/1987;7:00;1440;22;E
5044E;TD4;14/05/1987;7:00;1440;19;E
5044E;TD4;15/05/1987;7:00;1440;21;E
5044E;TD4;16/05/1987;7:00;1440;17;E
5044E;TD4;17/05/1987;7:00;1440;14;E
5044E;TD4;18/05/1987;7:00;1440;16;E
5044E;TD4;19/05/1987;7:00;1440;20;E
5044E;TD4;20/05/1987;7:00;1440;20;E
5044E;TD4;21/05/1987;7:00;1440;22;E
5044E;TD4;22/05/1987;7:00;1440;22;E
5044E;TD4;23/05/1987;7:00;1440;20;E
5044E;TD4;24/05/1987;7:00;1440;20;E
5044E;TD4;25/05/1987;7:00;1440;21;E
5044E;TD4;26/05/1987;7:00;1440;22;E
5044E;TD4;27/05/1987;7:00;1440;23;E
5044E;TD4;28/05/1987;7:00;1440;23;E
5044E;TD4;29/05/1987;7:00;1440;25;E
5044E;TD4;30/05/1987;7:00;1440;28;E
5044E;TD4;31/05/1987;7:00;1440;29;E
5044E;TD4;01/06/1987;7:00;1440;29;E
5044E;TD4;02/06/1987;7:00;1440;29;E
5044E;TD4;03/06/1987;7:00;1440;30;E
5044E;TD4;04/06/1987;7:00;1440;29;E
5044E;TD4;05/06/1987;7:00;1440;27;E
5044E;TD4;06/06/1987;7:00;1440;29;E
5044E;TD4;07/06/1987;7:00;1440;30;E
5044E;TD4;08/06/1987;7:00;1440;23;E
5044E;TD4;09/06/1987;7:00;1440;20;E
5044E;TD4;10/06/1987;7:00;1440;23;E
5044E;TD4;11/06/1987;7:00;1440;25;E
5044E;TD4;12/06/1987;7:00;1440;27;E
5044E;TD4;13/06/1987;7:00;1440;26;E
5044E;TD4;14/06/1987;7:00;1440;24;E
5044E;TD4;15/06/1987;7:00;1440;20;E
5044E;TD4;16/06/1987;7:00;1440;23;E
5044E;TD4;17/06/1987;7:00;1440;23;E
5044E;TD4;18/06/1987;7:00;1440;23;E
5044E;TD4;19/06/1987;7:00;1440;25;E
5044E;TD4;20/06/1987;7:00;1440;26;E
5044E;TD4;21/06/1987;7:00;1440;28;R
5044E;TD4;22/06/1987;7:00;1440;27;R
5044E;TD4;23/06/1987;7:00;1440;23;R
5044E;TD4;24/06/1987;7:00;1440;23;R
5044E;TD4;25/06/1987;7:00;1440;24;R
5044E;TD4;26/06/1987;7:00;1440;28;R
5044E;TD4;27/06/1987;7:00;1440;28;R
5044E;TD4;28/06/1987;7:00;1440;29;R
5044E;TD4;29/06/1987;7:00;1440;30;R
5044E;TD4;30/06/1987;7:00;1440;30;R
5044E;TD4;01/07/1987;7:00;1440;29;E
5044E;TD4;02/07/1987;7:00;1440;28;E
5044E;TD4;03/07/1987;7:00;1440;29;E
5044E;TD4;04/07/1987;7:00;1440;29;E
5044E;TD4;05/07/1987;7:00;1440;28;E
5044E;TD4;06/07/1987;7:00;1440;20;E
5044E;TD4;07/07/1987;7:00;1440;24;E
5044E;TD4;08/07/1987;7:00;1440;28;E
5044E;TD4;09/07/1987;7:00;1440;28;E
5044E;TD4;10/07/1987;7:00;1440;27;E
5044E;TD4;11/07/1987;7:00;1440;29;E
5044E;TD4;12/07/1987;7:00;1440;24;E
5044E;TD4;13/07/1987;7:00;1440;27;E
5044E;TD4;14/07/1987;7:00;1440;26;E
5044E;TD4;15/07/1987;7:00;1440;27;E
5044E;TD4;16/07/1987;7:00;1440;30;E
5044E;TD4;17/07/1987;7:00;1440;30;E
5044E;TD4;18/07/1987;7:00;1440;32;E
5044E;TD4;19/07/1987;7:00;1440;28;E
5044E;TD4;20/07/1987;7:00;1440;28;E
5044E;TD4;21/07/1987;7:00;1440;29;E
5044E;TD4;22/07/1987;7:00;1440;28;E
5044E;TD4;23/07/1987;7:00;1440;29;E
5044E;TD4;24/07/1987;7:00;1440;29;E
5044E;TD4;25/07/1987;7:00;1440;25;E
5044E;TD4;26/07/1987;7:00;1440;27;E
5044E;TD4;27/07/1987;7:00;1440;27;E
5044E;TD4;28/07/1987;7:00;1440;26;E
5044E;TD4;29/07/1987;7:00;1440;30;E
5044E;TD4;30/07/1987;7:00;1440;28;E
5044E;TD4;31/07/1987;7:00;1440;27;E
5044E;TD4;01/08/1987;7:00;1440;27;E
5044E;TD4;02/08/1987;7:00;1440;27;E
5044E;TD4;03/08/1987;7:00;1440;29;E
5044E;TD4;04/08/1987;7:00;1440;35;E
5044E;TD4;05/08/1987;7:00;1440;34;E
5044E;TD4;06/08/1987;7:00;1440;31;E
5044E;TD4;07/08/1987;7:00;1440;27;E
5044E;TD4;08/08/1987;7:00;1440;29;E
5044E;TD4;09/08/1987;7:00;1440;29;E
5044E;TD4;10/08/1987;7:00;1440;28;E
5044E;TD4;11/08/1987;7:00;1440;34;E
5044E;TD4;12/08/1987;7:00;1440;36;E
5044E;TD4;13/08/1987;7:00;1440;36;E
5044E;TD4;14/08/1987;7:00;1440;28;E
5044E;TD4;15/08/1987;7:00;1440;35;E
5044E;TD4;16/08/1987;7:00;1440;35;E
5044E;TD4;17/08/1987;7:00;1440;32;E
5044E;TD4;18/08/1987;7:00;1440;30;E
5044E;TD4;19/08/1987;7:00;1440;33;E
5044E;TD4;20/08/1987;7:00;1440;33;E
5044E;TD4;21/08/1987;7:00;1440;33;E
5044E;TD4;22/08/1987;7:00;1440;33;E
5044E;TD4;23/08/1987;7:00;1440;32;E
5044E;TD4;24/08/1987;7:00;1440;28;E
5044E;TD4;25/08/1987;7:00;1440;28;E
5044E;TD4;26/08/1987;7:00;1440;29;E
5044E;TD4;27/08/1987;7:00;1440;28;E
5044E;TD4;28/08/1987;7:00;1440;21;E
5044E;TD4;29/08/1987;7:00;1440;19;E
5044E;TD4;30/08/1987;7:00;1440;23;E
5044E;TD4;31/08/1987;7:00;1440;24;E
5044E;TD4;01/09/1987;7:00;1440;26;E
5044E;TD4;02/09/1987;7:00;1440;26;E
5044E;TD4;03/09/1987;7:00;1440;27;E
5044E;TD4;04/09/1987;7:00;1440;21;E
5044E;TD4;05/09/1987;7:00;1440;24;E
5044E;TD4;06/09/1987;7:00;1440;29;E
5044E;TD4;07/09/1987;7:00;1440;29;E
5044E;TD4;08/09/1987;7:00;1440;30;E
5044E;TD4;09/09/1987;7:00;1440;31;E
5044E;TD4;10/09/1987;7:00;1440;29;E
5044E;TD4;11/09/1987;7:00;1440;28;E
5044E;TD4;12/09/1987;7:00;1440;30;E
5044E;TD4;13/09/1987;7:00;1440;30;E
5044E;TD4;14/09/1987;7:00;1440;30;E
5044E;TD4;15/09/1987;7:00;1440;28;E
5044E;TD4;16/09/1987;7:00;1440;28;E
5044E;TD4;17/09/1987;7:00;1440;26;E
5044E;TD4;18/09/1987;7:00;1440;27;E
5044E;TD4;19/09/1987;7:00;1440;27;E
5044E;TD4;20/09/1987;7:00;1440;27;E
5044E;TD4;21/09/1987;7:00;1440;26;E
5044E;TD4;22/09/1987;7:00;1440;26;E
5044E;TD4;23/09/1987;7:00;1440;28;E
5044E;TD4;24/09/1987;7:00;1440;27;E
5044E;TD4;25/09/1987;7:00;1440;27;E
5044E;TD4;26/09/1987;7:00;1440;22;E
5044E;TD4;27/09/1987;7:00;1440;23;E
5044E;TD4;27/09/1987;7:00;1440;24;E
5044E;TD4;28/09/1987;7:00;1440;23;E
5044E;TD4;29/09/1987;7:00;1440;23;E
5044E;TD4;30/09/1987;7:00;1440;23;E
5044E;TD4;01/10/1987;7:00;1440;20;E
5044E;TD4;02/10/1987;7:00;1440;21;E
5044E;TD4;03/10/1987;7:00;1440;17;E
5044E;TD4;04/10/1987;7:00;1440;18;E
5044E;TD4;05/10/1987;7:00;1440;14;E
5044E;TD4;06/10/1987;7:00;1440;17;E
5044E;TD4;07/10/1987;7:00;1440;18;E
5044E;TD4;08/10/1987;7:00;1440;21;E
5044E;TD4;09/10/1987;7:00;1440;12;E
5044E;TD4;10/10/1987;7:00;1440;14;R
5044E;TD4;11/10/1987;7:00;1440;19;R
5044E;TD4;12/10/1987;7:00;1440;17;R
5044E;TD4;13/10/1987;7:00;1440;17;R
5044E;TD4;14/10/1987;7:00;1440;21;R
5044E;TD4;15/10/1987;7:00;1440;19;R
5044E;TD4;16/10/1987;7:00;1440;18;R
5044E;TD4;17/10/1987;7:00;1440;16;R
5044E;TD4;18/10/1987;7:00;1440;24;R
5044E;TD4;19/10/1987;7:00;1440;16;R
5044E;TD4;31/10/1987;7:00;1440;15;E
5044E;TD4;01/11/1987;7:00;1440;14;E
5044E;TD4;02/11/1987;7:00;1440;14;E
5044E;TD4;03/11/1987;7:00;1440;14;E
5044E;TD4;04/11/1987;7:00;1440;12;E
5044E;TD4;05/11/1987;7:00;1440;10;E
5044E;TD4;06/11/1987;7:00;1440;10;E
5044E;TD4;07/11/1987;7:00;1440;12;E
5044E;TD4;08/11/1987;7:00;1440;13;E
5044E;TD4;09/11/1987;7:00;1440;14;E
5044E;TD4;10/11/1987;7:00;1440;16;E
5044E;TD4;11/11/1987;7:00;1440;17;E
5044E;TD4;12/11/1987;7:00;1440;17;E
5044E;TD4;13/11/1987;7:00;1440;16;E
5044E;TD4;14/11/1987;7:00;1440;17;E
5044E;TD4;15/11/1987;7:00;1440;17;E
5044E;TD4;16/11/1987;7:00;1440;14;E
5044E;TD4;17/11/1987;7:00;1440;15;E
5044E;TD4;18/11/1987;7:00;1440;16;E
5044E;TD4;19/11/1987;7:00;1440;22;E
5044E;TD4;20/11/1987;7:00;1440;16;E
5044E;TD4;21/11/1987;7:00;1440;14;E
5044E;TD4;22/11/1987;7:00;1440;9;E
5044E;TD4;23/11/1987;7:00;1440;5;E
5044E;TD4;24/11/1987;7:00;1440;6;E
5044E;TD4;25/11/1987;7:00;1440;9;E
5044E;TD4;26/11/1987;7:00;1440;6;E
5044E;TD4;27/11/1987;7:00;1440;8;E
5044E;TD4;28/11/1987;7:00;1440;9;E
5044E;TD4;29/11/1987;7:00;1440;10;E
5044E;TD4;30/11/1987;7:00;1440;11;E
5044E;TD4;01/12/1987;7:00;1440;5;E
5044E;TD4;02/12/1987;7:00;1440;10;E
5044E;TD4;03/12/1987;7:00;1440;10;E
5044E;TD4;04/12/1987;7:00;1440;11;E
5044E;TD4;05/12/1987;7:00;1440;12;E
5044E;TD4;06/12/1987;7:00;1440;13;E
5044E;TD4;07/12/1987;7:00;1440;8;E
5044E;TD4;08/12/1987;7:00;1440;14;E
5044E;TD4;09/12/1987;7:00;1440;14;E
5044E;TD4;10/12/1987;7:00;1440;10;E
5044E;TD4;11/12/1987;7:00;1440;10;E
5044E;TD4;12/12/1987;7:00;1440;12;E
5044E;TD4;13/12/1987;7:00;1440;11;E
5044E;TD4;14/12/1987;7:00;1440;14;E
5044E;TD4;15/12/1987;7:00;1440;16;E
5044E;TD4;16/12/1987;7:00;1440;20;E
5044E;TD4;17/12/1987;7:00;1440;20;E
5044E;TD4;18/12/1987;7:00;1440;17;E
5044E;TD4;19/12/1987;7:00;1440;12;E
5044E;TD4;20/12/1987;7:00;1440;16;E
5044E;TD4;21/12/1987;7:00;1440;17;E
5044E;TD4;22/12/1987;7:00;1440;19;E
5044E;TD4;23/12/1987;7:00;1440;18;E
5044E;TD4;24/12/1987;7:00;1440;20;E
5044E;TD4;25/12/1987;7:00;1440;22;E
5044E;TD4;26/12/1987;7:00;1440;20;E
5044E;TD4;27/12/1987;7:00;1440;12;E
5044E;TD4;28/12/1987;7:00;1440;15;E
5044E;TD4;29/12/1987;7:00;1440;18;E
5044E;TD4;30/12/1987;7:00;1440;19;E
5044E;TD4;31/12/1987;7:00;1440;7;E
5044E;TD4;01/01/1988;7:00;1440;10;E
5044E;TD4;02/01/1988;7:00;1440;14;E
5044E;TD4;03/01/1988;7:00;1440;17;E
5044E;TD4;04/01/1988;7:00;1440;17;E
5044E;TD4;05/01/1988;7:00;1440;10;E
5044E;TD4;06/01/1988;7:00;1440;11;E
5044E;TD4;07/01/1988;7:00;1440;14;E
5044E;TD4;08/01/1988;7:00;1440;16;E
5044E;TD4;09/01/1988;7:00;1440;16;E
5044E;TD4;10/01/1988;7:00;1440;15;E
5044E;TD4;11/01/1988;7:00;1440;31;E
5044E;TD4;12/01/1988;7:00;1440;9;E
5044E;TD4;13/01/1988;7:00;1440;8;E
5044E;TD4;14/01/1988;7:00;1440;11;E
5044E;TD4;15/01/1988;7:00;1440;9;E
5044E;TD4;16/01/1988;7:00;1440;5;E
5044E;TD4;17/01/1988;7:00;1440;7;E
5044E;TD4;18/01/1988;7:00;1440;9;E
5044E;TD4;19/01/1988;7:00;1440;9;E
5044E;TD4;20/01/1988;7:00;1440;10;E
5044E;TD4;21/01/1988;7:00;1440;12;E
5044E;TD4;22/01/1988;7:00;1440;15;E
5044E;TD4;23/01/1988;7:00;1440;12;E
5044E;TD4;24/01/1988;7:00;1440;13;E
5044E;TD4;25/01/1988;7:00;1440;14;E
5044E;TD4;26/01/1988;7:00;1440;15;E
5044E;TD4;27/01/1988;7:00;1440;14;E
5044E;TD4;28/01/1988;7:00;1440;13;E
5044E;TD4;29/01/1988;7:00;1440;15;E
5044E;TD4;30/01/1988;7:00;1440;17;E
5044E;TD4;31/01/1988;7:00;1440;18;E
5044E;TD4;01/02/1988;7:00;1440;18;E
5044E;TD4;02/02/1988;7:00;1440;17;E
5044E;TD4;03/02/1988;7:00;1440;14;E
5044E;TD4;04/02/1988;7:00;1440;15;E
5044E;TD4;05/02/1988;7:00;1440;12;E
5044E;TD4;06/02/1988;7:00;1440;6;E
5044E;TD4;07/02/1988;7:00;1440;12;E
5044E;TD4;08/02/1988;7:00;1440;17;E
5044E;TD4;09/02/1988;7:00;1440;15;E
5044E;TD4;10/02/1988;7:00;1440;15;E
5044E;TD4;11/02/1988;7:00;1440;16;E
5044E;TD4;12/02/1988;7:00;1440;17;E
5044E;TD4;13/02/1988;7:00;1440;13;E
5044E;TD4;14/02/1988;7:00;1440;9;E
5044E;TD4;15/02/1988;7:00;1440;4;E
5044E;TD4;16/02/1988;7:00;1440;10;E
5044E;TD4;17/02/1988;7:00;1440;12;E
5044E;TD4;18/02/1988;7:00;1440;14;E
5044E;TD4;19/02/1988;7:00;1440;14;E
5044E;TD4;20/02/1988;7:00;1440;14;E
5044E;TD4;21/02/1988;7:00;1440;9;E
5044E;TD4;22/02/1988;7:00;1440;10;E
5044E;TD4;23/02/1988;7:00;1440;12;E
5044E;TD4;24/02/1988;7:00;1440;13;E
5044E;TD4;25/02/1988;7:00;1440;6;E
5044E;TD4;26/02/1988;7:00;1440;7;E
5044E;TD4;27/02/1988;7:00;1440;8;E
5044E;TD4;28/02/1988;7:00;1440;10;E
5044E;TD4;29/02/1988;7:00;1440;12;E
5044E;TD4;01/03/1988;7:00;1440;6;E
5044E;TD4;02/03/1988;7:00;1440;7;E
5044E;TD4;03/03/1988;7:00;1440;9;E
5044E;TD4;04/03/1988;7:00;1440;2;E
5044E;TD4;05/03/1988;7:00;1440;8;E
5044E;TD4;06/03/1988;7:00;1440;12;E
5044E;TD4;07/03/1988;7:00;1440;15;E
5044E;TD4;08/03/1988;7:00;1440;15;E
5044E;TD4;09/03/1988;7:00;1440;16;E
5044E;TD4;10/03/1988;7:00;1440;16;E
5044E;TD4;11/03/1988;7:00;1440;18;E
5044E;TD4;12/03/1988;7:00;1440;19;E
5044E;TD4;13/03/1988;7:00;1440;12;E
5044E;TD4;14/03/1988;7:00;1440;20;E
5044E;TD4;15/03/1988;7:00;1440;20;E
5044E;TD4;16/03/1988;7:00;1440;20;E
5044E;TD4;17/03/1988;7:00;1440;20;E
5044E;TD4;18/03/1988;7:00;1440;21;E
5044E;TD4;19/03/1988;7:00;1440;22;E
5044E;TD4;20/03/1988;7:00;1440;21;E
5044E;TD4;21/03/1988;7:00;1440;15;E
5044E;TD4;22/03/1988;7:00;1440;18;E
5044E;TD4;23/03/1988;7:00;1440;25;E
5044E;TD4;24/03/1988;7:00;1440;23;E
5044E;TD4;25/03/1988;7:00;1440;24;E
5044E;TD4;26/03/1988;7:00;1440;26;E
5044E;TD4;28/03/1988;7:00;1440;28;E
5044E;TD4;29/03/1988;7:00;1440;21;E
5044E;TD4;30/03/1988;7:00;1440;12;E
5044E;TD4;31/03/1988;7:00;1440;13;E
5044E;TD4;01/04/1988;7:00;1440;17;E
5044E;TD4;02/04/1988;7:00;1440;11;E
5044E;TD4;03/04/1988;7:00;1440;9;E
5044E;TD4;04/04/1988;7:00;1440;7;E
5044E;TD4;05/04/1988;7:00;1440;8;E
5044E;TD4;06/04/1988;7:00;1440;12;E
5044E;TD4;07/04/1988;7:00;1440;15;E
5044E;TD4;08/04/1988;7:00;1440;10;E
5044E;TD4;09/04/1988;7:00;1440;12;E
5044E;TD4;10/04/1988;7:00;1440;14;E
5044E;TD4;11/04/1988;7:00;1440;16;E
5044E;TD4;12/04/1988;7:00;1440;19;E
5044E;TD4;13/04/1988;7:00;1440;20;E
5044E;TD4;14/04/1988;7:00;1440;21;E
5044E;TD4;15/04/1988;7:00;1440;21;E
5044E;TD4;16/04/1988;7:00;1440;22;E
5044E;TD4;17/04/1988;7:00;1440;23;E
5044E;TD4;18/04/1988;7:00;1440;16;E
5044E;TD4;19/04/1988;7:00;1440;15;E
5044E;TD4;20/04/1988;7:00;1440;18;E
5044E;TD4;21/04/1988;7:00;1440;19;E
5044E;TD4;22/04/1988;7:00;1440;20;E
5044E;TD4;23/04/1988;7:00;1440;19;E
5044E;TD4;24/04/1988;7:00;1440;15;E
5044E;TD4;25/04/1988;7:00;1440;11;E
5044E;TD4;26/04/1988;7:00;1440;10;E
5044E;TD4;27/04/1988;7:00;1440;12;E
5044E;TD4;28/04/1988;7:00;1440;14;E
5044E;TD4;29/04/1988;7:00;1440;18;E
5044E;TD4;30/04/1988;7:00;1440;22;E
5044E;TD4;01/05/1988;7:00;1440;21;E
5044E;TD4;02/05/1988;7:00;1440;22;E
5044E;TD4;03/05/1988;7:00;1440;17;E
5044E;TD4;04/05/1988;7:00;1440;18;E
5044E;TD4;05/05/1988;7:00;1440;18;E
5044E;TD4;06/05/1988;7:00;1440;14;E
5044E;TD4;07/05/1988;7:00;1440;19;E
5044E;TD4;08/05/1988;7:00;1440;20;E
5044E;TD4;09/05/1988;7:00;1440;21;E
5044E;TD4;10/05/1988;7:00;1440;19;E
5044E;TD4;11/05/1988;7:00;1440;18;E
5044E;TD4;12/05/1988;7:00;1440;13;E
5044E;TD4;13/05/1988;7:00;1440;14;E
5044E;TD4;14/05/1988;7:00;1440;15;E
5044E;TD4;15/05/1988;7:00;1440;18;E
5044E;TD4;16/05/1988;7:00;1440;18;E
5044E;TD4;17/05/1988;7:00;1440;19;E
5044E;TD4;18/05/1988;7:00;1440;20;E
5044E;TD4;19/05/1988;7:00;1440;20;E
5044E;TD4;20/05/1988;7:00;1440;21;E
5044E;TD4;21/05/1988;7:00;1440;21;E
5044E;TD4;22/05/1988;7:00;1440;20;E
5044E;TD4;23/05/1988;7:00;1440;16;E
5044E;TD4;24/05/1988;7:00;1440;19;E
5044E;TD4;25/05/1988;7:00;1440;21;E
5044E;TD4;26/05/1988;7:00;1440;20;E
5044E;TD4;27/05/1988;7:00;1440;20;E
5044E;TD4;28/05/1988;7:00;1440;21;E
5044E;TD4;29/05/1988;7:00;1440;23;E
5044E;TD4;30/05/1988;7:00;1440;25;E
5044E;TD4;31/05/1988;7:00;1440;21;E
5044E;TD4;01/06/1988;7:00;1440;24;E
5044E;TD4;02/06/1988;7:00;1440;23;E
5044E;TD4;03/06/1988;7:00;1440;25;E
5044E;TD4;04/06/1988;7:00;1440;26;E
5044E;TD4;05/06/1988;7:00;1440;26;E
5044E;TD4;06/06/1988;7:00;1440;25;E
5044E;TD4;07/06/1988;7:00;1440;22;E
5044E;TD4;08/06/1988;7:00;1440;19;E
5044E;TD4;09/06/1988;7:00;1440;18;E
5044E;TD4;10/06/1988;7:00;1440;18;E
5044E;TD4;11/06/1988;7:00;1440;19;E
5044E;TD4;12/06/1988;7:00;1440;18;E
5044E;TD4;13/06/1988;7:00;1440;17;E
5044E;TD4;14/06/1988;7:00;1440;21;E
5044E;TD4;15/06/1988;7:00;1440;21;E
5044E;TD4;16/06/1988;7:00;1440;22;E
5044E;TD4;17/06/1988;7:00;1440;22;E
5044E;TD4;18/06/1988;7:00;1440;23;E
5044E;TD4;19/06/1988;7:00;1440;24;E
5044E;TD4;20/06/1988;7:00;1440;22;E
5044E;TD4;21/06/1988;7:00;1440;23;E
5044E;TD4;22/06/1988;7:00;1440;22;E
